,full_name,has_issues,has_projects,has_downloads,has_wiki,has_pages,open_issues_count,size,language
129,ocornut/imgui,True,False,True,True,False,454,47341,C++
130,microsoft/monaco-editor,True,True,True,True,True,691,6978,JavaScript
131,vapor/vapor,True,False,True,False,False,92,15267,Swift
132,inconshreveable/ngrok,True,True,True,False,False,195,858,Go
133,ramda/ramda,True,True,True,True,False,270,7287,JavaScript
134,cockroachdb/cockroach,True,True,True,True,False,2846,1127430,Go
135,npm/npm,True,False,True,False,False,2167,47202,
136,metabase/metabase,True,True,True,True,False,2101,122712,Clojure
137,jcjohnson/neural-style,True,True,True,True,False,320,48191,Lua
138,avajs/ava,True,False,True,False,False,159,9325,JavaScript
139,jorgebucaran/hyperapp,True,False,True,False,True,17,2860,JavaScript
140,koalaman/shellcheck,True,True,True,True,False,462,4171,Haskell
141,ipfs/ipfs,True,False,True,False,False,35,2406,
142,xi-editor/xi-editor,True,True,False,False,True,143,9216,Rust
143,facebook/draft-js,True,True,True,True,True,625,10741,JavaScript
144,rclone/rclone,True,True,True,True,False,937,133937,Go
145,parse-community/parse-server,True,True,True,True,True,64,14623,JavaScript
146,react-navigation/react-navigation,True,True,True,False,False,147,14618,TypeScript
147,BurntSushi/ripgrep,True,True,True,True,False,79,3319,Rust
148,microsoft/CNTK,True,False,True,True,False,792,934285,C++
149,mitmproxy/mitmproxy,True,True,True,False,False,273,45395,Python
150,bilibili/flv.js,True,True,True,True,True,236,1097,JavaScript
151,airyland/vux,True,False,True,False,True,751,31989,Vue
152,typicode/husky,True,True,True,True,False,148,1620,JavaScript
153,go-gitea/gitea,True,False,True,False,False,1233,147507,Go
154,PowerShell/PowerShell,True,True,True,False,False,2205,59994,C#
155,nsqio/nsq,True,False,True,False,False,54,12464,Go
156,kataras/iris,True,False,True,True,False,6,31163,Go
157,junegunn/vim-plug,True,True,True,True,False,57,8790,Vim script
158,balena-io/etcher,True,True,True,True,True,190,96428,JavaScript
159,localForage/localForage,True,True,True,True,True,162,4855,JavaScript
160,kubernetes/minikube,True,True,True,False,False,375,122520,Go
161,elixir-lang/elixir,True,False,True,True,False,17,42249,Elixir
162,viatsko/awesome-vscode,True,True,True,True,True,28,9942,JavaScript
163,openfaas/faas,True,False,True,False,True,56,23761,Go
164,OAI/OpenAPI-Specification,True,True,True,True,True,589,2423,
165,osquery/osquery,True,True,True,False,False,620,19976,C++
166,JohnCoates/Aerial,True,True,True,False,False,22,12871,Swift
167,TeamStuQ/skill-map,True,True,True,True,False,71,33969,HTML
168,ianstormtaylor/slate,True,False,True,False,True,448,240290,JavaScript
169,typeorm/typeorm,True,False,True,True,False,1261,14426,TypeScript
170,google/python-fire,True,True,False,False,True,63,873,Python
171,BoostIO/Boostnote,True,True,True,True,False,532,17994,JavaScript
172,labstack/echo,True,True,True,True,False,46,5226,Go
173,facebook/rocksdb,True,True,True,True,True,403,145589,C++
174,Kotlin/anko,True,False,True,True,False,244,15224,Kotlin
175,mojs/mojs,True,True,True,True,False,55,137853,JavaScript
176,jtoy/awesome-tensorflow,True,True,True,True,False,23,246,
177,necolas/react-native-web,True,False,True,False,True,91,28043,JavaScript
178,reddit-archive/reddit,False,True,False,True,False,304,40093,Python
179,uikit/uikit,True,True,True,True,False,625,46201,CSS
180,ElemeFE/mint-ui,True,True,True,False,True,284,3064,Vue
181,palantir/blueprint,True,True,True,True,True,445,77268,TypeScript
182,wekan/wekan,True,False,True,True,False,563,17477,JavaScript
183,nosir/cleave.js,True,False,True,False,True,103,2760,JavaScript
184,pjreddie/darknet,True,True,True,True,False,1453,6273,C
185,Neilpang/acme.sh,True,True,True,True,False,533,3810,Shell
186,explosion/spaCy,True,False,True,False,False,156,165572,Python
187,jamiebuilds/the-super-tiny-compiler,False,True,True,True,False,11,30,JavaScript
188,HelloZeroNet/ZeroNet,True,True,True,True,False,630,12661,Python
189,trailofbits/algo,True,True,True,False,True,55,2652,Python
190,swoole/swoole-src,True,True,True,True,False,63,36585,C++
191,zeit/pkg,True,False,True,False,False,443,2481,JavaScript
192,lovell/sharp,True,False,True,False,False,88,38568,JavaScript
193,Tencent/tinker,True,True,True,True,False,209,6154,Java
194,apache/airflow,False,True,True,False,False,336,48853,Python
195,hashicorp/vault,True,False,True,False,False,546,99125,Go
196,acdlite/recompose,True,True,True,True,False,78,1504,JavaScript
197,jamiebuilds/react-loadable,False,False,True,False,False,59,826,JavaScript
198,jeromeetienne/AR.js,True,True,True,True,True,86,326299,HTML
199,eggjs/egg,True,False,True,True,True,97,57675,JavaScript
200,tensorflow/magenta,True,False,False,False,False,216,35814,Python
201,yabwe/medium-editor,True,False,True,True,True,316,10337,JavaScript
202,infernojs/inferno,True,True,True,True,True,32,36232,JavaScript
203,dvajs/dva,True,True,True,True,False,36,1416,JavaScript
204,getredash/redash,True,True,True,False,True,483,17818,JavaScript
205,binux/pyspider,True,True,True,False,False,254,4156,Python
206,fish-shell/fish-shell,True,True,True,True,False,471,50659,Shell
207,facebook/relay,True,True,True,True,True,195,36105,JavaScript
208,PostgREST/postgrest,True,True,True,True,False,100,3527,Haskell
209,mxgmn/WaveFunctionCollapse,True,True,True,True,False,1,559,C#
210,facebookarchive/AsyncDisplayKit,True,True,True,True,True,24,131026,Objective-C++
211,portainer/portainer,True,True,True,False,True,619,23077,HTML
212,yaronn/blessed-contrib,True,True,True,True,False,62,5334,JavaScript
213,svg/svgo,True,True,True,True,False,269,1583,JavaScript
214,chalk/chalk,True,False,True,False,False,9,731,JavaScript
215,apache/incubator-weex,True,True,True,True,False,112,282523,C++
216,FezVrasta/popper.js,True,True,True,False,True,76,5376,JavaScript
217,huge-success/sanic,True,True,True,True,False,55,2332,Python
218,vurtun/nuklear,True,True,True,True,False,237,12138,C
219,cayleygraph/cayley,True,True,True,False,False,77,19721,Go
220,source-foundry/Hack,True,True,True,False,True,96,108104,Shell
221,GeekyAnts/NativeBase,True,True,True,True,True,171,21914,JavaScript
222,golang/dep,True,True,True,True,True,296,12529,Go
223,tsenart/vegeta,True,True,True,True,False,23,1682,Go
224,DrKLO/Telegram,False,True,True,False,False,404,178434,Java
225,commaai/openpilot,True,True,True,True,False,54,636067,C
226,marcuswestin/store.js,True,True,True,True,True,79,737,JavaScript
227,pouchdb/pouchdb,True,True,True,True,False,56,119588,JavaScript
228,facebook/yoga,True,True,True,True,True,231,28630,C++
229,SpaceVim/SpaceVim,True,False,True,True,True,60,10847,Vim script
230,flatpickr/flatpickr,True,False,True,False,False,301,6569,TypeScript
231,matomo-org/matomo,True,False,True,True,False,1741,214251,PHP
232,vadimdemedes/ink,True,False,True,False,False,34,860,JavaScript
233,maxwellito/vivus,True,True,True,True,True,7,456,JavaScript
234,react-dnd/react-dnd,True,True,True,True,True,62,85205,TypeScript
235,tj/n,True,True,True,True,False,8,3167,Shell
236,dotnet/core,True,True,True,False,False,113,8430,Shell
237,react-native-community/lottie-react-native,True,True,True,False,False,92,67682,Java
